height,weight,label
182,36,저체중
123,85,비만
149,72,비만
139,61,비만
146,35,저체중
152,70,비만
158,61,정상체중
191,80,정상체중
135,55,비만
171,35,저체중
131,82,비만
173,70,정상체중
188,41,저체중
159,62,정상체중
139,37,정상체중
145,44,정상체중
166,69,비만
173,35,저체중
195,60,저체중
168,69,정상체중
169,89,비만
196,84,정상체중
191,53,저체중
181,64,정상체중
137,83,비만
158,45,저체중
137,88,비만
182,74,정상체중
164,50,정상체중
177,46,저체중
120,42,비만
182,80,정상체중
192,72,정상체중
161,88,비만
132,41,정상체중
165,83,비만
133,72,비만
126,72,비만
195,88,정상체중
193,55,저체중
150,50,정상체중
131,43,비만
126,53,비만
192,50,저체중
183,59,저체중
177,46,저체중
136,84,비만
178,78,정상체중
124,47,비만
132,64,비만
127,85,비만
121,85,비만
190,43,저체중
199,74,정상체중
141,83,비만
172,85,비만
120,53,비만
165,47,저체중
188,67,정상체중
192,60,저체중
195,75,정상체중
124,74,비만
187,43,저체중
149,57,비만
164,87,비만
162,60,정상체중
145,61,비만
188,52,저체중
158,80,비만
173,52,저체중
138,73,비만
131,74,비만
132,50,비만
158,65,비만
135,70,비만
162,89,비만
131,48,비만
137,76,비만
164,71,비만
173,55,저체중
192,76,정상체중
185,78,정상체중
141,79,비만
167,48,저체중
183,84,비만
123,84,비만
158,43,저체중
123,76,비만
185,37,저체중
170,76,비만
138,45,정상체중
148,83,비만
194,82,정상체중
159,66,비만
184,63,정상체중
191,81,정상체중
146,82,비만
194,89,정상체중
189,35,저체중
152,50,정상체중
159,60,정상체중
165,64,정상체중
182,41,저체중
131,84,비만
163,77,비만
192,57,저체중
192,75,정상체중
133,69,비만
162,76,비만
166,62,정상체중
132,71,비만
166,44,저체중
160,70,비만
122,57,비만
148,47,정상체중
137,81,비만
125,77,비만
149,45,정상체중
163,88,비만
186,89,비만
146,58,비만
177,85,비만
147,48,정상체중
196,44,저체중
154,60,비만
150,64,비만
126,72,비만
162,36,저체중
169,35,저체중
188,55,저체중
173,58,정상체중
127,45,비만
167,72,비만
171,84,비만
129,61,비만
154,35,저체중
164,77,비만
183,74,정상체중
139,74,비만
153,59,비만
124,70,비만
156,86,비만
145,76,비만
164,57,정상체중
164,51,정상체중
151,59,비만
131,64,비만
127,59,비만
138,49,비만
143,68,비만
183,75,정상체중
152,73,비만
194,53,저체중
167,87,비만
193,76,정상체중
128,44,비만
137,47,비만
181,63,정상체중
121,51,비만
144,71,비만
165,50,저체중
163,77,비만
143,75,비만
125,77,비만
183,75,정상체중
178,41,저체중
127,56,비만
157,37,저체중
189,79,정상체중
124,77,비만
155,82,비만
120,74,비만
121,65,비만
197,48,저체중
191,48,저체중
193,53,저체중
186,81,정상체중
162,58,정상체중
142,40,정상체중
185,46,저체중
130,50,비만
188,48,저체중
149,67,비만
159,61,정상체중
199,54,저체중
124,60,비만
130,53,비만
159,76,비만
136,74,비만
151,88,비만
134,77,비만
143,63,비만
131,48,비만
158,74,비만
169,69,정상체중
139,50,비만
128,84,비만
138,68,비만
121,50,비만
175,72,정상체중
171,43,저체중
196,85,정상체중
147,43,정상체중
165,66,정상체중
127,75,비만
128,45,비만
199,61,저체중
157,61,정상체중
138,70,비만
122,56,비만
184,69,정상체중
182,49,저체중
122,66,비만
149,54,정상체중
151,89,비만
140,65,비만
184,48,저체중
130,52,비만
132,88,비만
145,45,정상체중
191,81,정상체중
186,73,정상체중
172,60,정상체중
192,58,저체중
174,77,비만
126,70,비만
157,40,저체중
156,49,정상체중
147,87,비만
177,38,저체중
148,86,비만
158,68,비만
145,87,비만
122,52,비만
129,86,비만
162,39,저체중
175,62,정상체중
125,54,비만
166,59,정상체중
138,40,정상체중
158,51,정상체중
189,49,저체중
127,82,비만
193,74,정상체중
180,88,비만
199,38,저체중
191,86,정상체중
168,78,비만
170,36,저체중
154,75,비만
132,38,정상체중
156,56,정상체중
122,50,비만
165,81,비만
172,71,정상체중
123,74,비만
147,88,비만
166,37,저체중
190,60,저체중
192,88,정상체중
195,36,저체중
158,69,비만
176,72,정상체중
154,48,정상체중
129,47,비만
152,65,비만
128,62,비만
165,67,정상체중
162,62,정상체중
179,43,저체중
140,41,정상체중
173,48,저체중
178,68,정상체중
130,75,비만
160,44,저체중
155,55,정상체중
135,64,비만
156,82,비만
179,83,비만
174,69,정상체중
151,66,비만
195,77,정상체중
144,48,정상체중
159,77,비만
197,61,저체중
187,69,정상체중
150,84,비만
150,87,비만
136,70,비만
151,43,정상체중
135,44,정상체중
121,72,비만
164,46,저체중
150,53,정상체중
145,66,비만
193,40,저체중
172,38,저체중
182,75,정상체중
143,37,저체중
180,80,정상체중
136,68,비만
168,57,정상체중
166,74,비만
186,64,저체중
136,72,비만
171,76,비만
170,48,저체중
172,60,정상체중
151,82,비만
184,41,저체중
121,86,비만
136,70,비만
192,66,저체중
135,50,비만
124,77,비만
189,39,저체중
173,36,저체중
121,87,비만
171,87,비만
143,81,비만
167,67,정상체중
157,65,비만
190,63,저체중
191,79,정상체중
145,83,비만
174,53,저체중
141,54,비만
126,80,비만
154,66,비만
149,46,정상체중
159,86,비만
187,40,저체중
132,89,비만
139,35,저체중
152,81,비만
193,86,정상체중
136,61,비만
125,42,비만
134,82,비만
148,62,비만
169,73,비만
147,75,비만
123,35,정상체중
152,77,비만
145,57,비만
148,86,비만
141,73,비만
152,88,비만
179,44,저체중
155,43,저체중
160,65,비만
200,43,저체중
143,44,정상체중
173,71,정상체중
198,58,저체중
125,39,정상체중
154,88,비만
190,48,저체중
186,82,정상체중
182,39,저체중
146,61,비만
158,43,저체중
123,51,비만
134,77,비만
193,88,정상체중
158,85,비만
173,62,정상체중
155,52,정상체중
170,66,정상체중
140,39,정상체중
129,48,비만
135,73,비만
125,70,비만
163,70,비만
198,43,저체중
187,69,정상체중
171,76,비만
171,39,저체중
174,71,정상체중
154,76,비만
185,51,저체중
168,53,정상체중
123,69,비만
184,38,저체중
178,41,저체중
122,76,비만
139,37,정상체중
142,56,비만
131,41,정상체중
173,43,저체중
144,66,비만
197,85,정상체중
165,88,비만
120,50,비만
148,43,정상체중
197,51,저체중
124,87,비만
162,59,정상체중
164,40,저체중
145,64,비만
180,48,저체중
173,68,정상체중
125,73,비만
195,43,저체중
193,66,저체중
158,79,비만
199,39,저체중
142,48,정상체중
186,83,정상체중
142,81,비만
125,68,비만
173,38,저체중
166,88,비만
166,88,비만
134,38,정상체중
128,88,비만
150,78,비만
177,65,정상체중
200,60,저체중
190,36,저체중
124,85,비만
179,90,비만
184,68,정상체중
170,76,비만
192,43,저체중
198,42,저체중
195,36,저체중
150,88,비만
148,82,비만
145,38,저체중
186,76,정상체중
150,55,정상체중
191,56,저체중
123,55,비만
143,64,비만
124,45,비만
155,84,비만
194,36,저체중
194,71,정상체중
177,40,저체중
197,53,저체중
154,38,저체중
140,67,비만
185,74,정상체중
126,90,비만
161,65,비만
193,78,정상체중
155,79,비만
145,70,비만
194,38,저체중
155,72,비만
133,44,정상체중
156,78,비만
149,61,비만
189,61,저체중
181,72,정상체중
147,86,비만
163,67,비만
165,47,저체중
169,45,저체중
139,68,비만
181,72,정상체중
137,81,비만
135,72,비만
174,43,저체중
195,85,정상체중
165,90,비만
177,54,저체중
146,78,비만
159,54,정상체중
196,37,저체중
189,40,저체중
153,70,비만
130,66,비만
182,74,정상체중
193,62,저체중
125,77,비만
126,80,비만
158,39,저체중
194,63,저체중
123,55,비만
122,66,비만
150,75,비만
157,78,비만
179,44,저체중
180,37,저체중
192,85,정상체중
186,59,저체중
124,77,비만
120,63,비만
163,74,비만
135,35,정상체중
156,79,비만
178,67,정상체중
173,67,정상체중
172,59,정상체중
193,62,저체중
161,76,비만
182,67,정상체중
152,68,비만
142,67,비만
159,43,저체중
125,80,비만
187,45,저체중
154,56,정상체중
159,61,정상체중
160,80,비만
196,85,정상체중
184,77,정상체중
131,58,비만
174,43,저체중
150,59,비만
189,36,저체중
187,67,정상체중
159,68,비만
154,65,비만
193,84,정상체중
124,72,비만
145,77,비만
138,59,비만
129,58,비만
162,73,비만
146,77,비만
152,46,정상체중
143,39,정상체중
120,77,비만
164,58,정상체중
200,83,정상체중
138,83,비만
184,61,저체중
191,87,정상체중
161,78,비만
195,87,정상체중
200,79,정상체중
151,88,비만
151,52,정상체중
158,46,저체중
166,65,정상체중
141,54,비만
195,87,정상체중
134,62,비만
185,69,정상체중
152,43,정상체중
127,79,비만
171,41,저체중
146,76,비만
175,46,저체중
148,38,저체중
147,72,비만
151,67,비만
190,69,정상체중
157,90,비만
146,56,비만
195,88,정상체중
135,81,비만
127,70,비만
166,54,정상체중
153,53,정상체중
122,45,비만
129,73,비만
173,45,저체중
187,54,저체중
149,89,비만
152,35,저체중
199,75,정상체중
168,39,저체중
126,72,비만
138,46,정상체중
170,80,비만
194,52,저체중
124,59,비만
185,87,비만
150,57,비만
157,68,비만
198,84,정상체중
154,60,비만
180,47,저체중
125,48,비만
146,47,정상체중
175,58,정상체중
123,56,비만
157,37,저체중
150,63,비만
187,88,비만
131,72,비만
141,47,정상체중
134,38,정상체중
169,54,정상체중
195,89,정상체중
125,39,정상체중
131,83,비만
181,75,정상체중
193,88,정상체중
199,72,저체중
131,66,비만
199,63,저체중
122,40,비만
175,90,비만
176,73,정상체중
134,74,비만
161,69,비만
190,52,저체중
146,69,비만
127,82,비만
169,70,정상체중
130,72,비만
169,51,저체중
190,72,정상체중
138,52,비만
165,82,비만
192,90,정상체중
135,85,비만
122,85,비만
180,56,저체중
149,68,비만
147,46,정상체중
159,36,저체중
199,50,저체중
133,62,비만
123,46,비만
196,75,정상체중
146,65,비만
177,69,정상체중
192,76,정상체중
149,46,정상체중
140,60,비만
175,89,비만
172,39,저체중
178,59,정상체중
189,43,저체중
164,58,정상체중
123,73,비만
138,59,비만
198,76,정상체중
186,81,정상체중
181,63,정상체중
189,64,저체중
185,47,저체중
195,45,저체중
132,36,정상체중
187,51,저체중
159,65,비만
200,87,정상체중
158,62,정상체중
181,43,저체중
196,85,정상체중
174,59,정상체중
174,89,비만
153,81,비만
140,37,정상체중
121,75,비만
197,86,정상체중
194,63,저체중
134,67,비만
161,81,비만
133,72,비만
156,36,저체중
157,38,저체중
125,44,비만
134,49,비만
170,90,비만
161,76,비만
139,56,비만
146,46,정상체중
166,46,저체중
179,77,정상체중
128,53,비만
183,71,정상체중
173,80,비만
157,79,비만
121,43,비만
147,59,비만
171,65,정상체중
142,84,비만
138,53,비만
173,90,비만
190,38,저체중
190,79,정상체중
171,78,비만
188,48,저체중
182,61,저체중
144,77,비만
150,35,저체중
187,76,정상체중
182,39,저체중
122,51,비만
178,69,정상체중
197,44,저체중
147,40,정상체중
179,49,저체중
144,78,비만
151,85,비만
189,40,저체중
178,69,정상체중
165,52,정상체중
197,75,정상체중
168,66,정상체중
158,79,비만
155,60,정상체중
179,38,저체중
148,37,저체중
163,80,비만
125,42,비만
129,60,비만
152,47,정상체중
178,83,비만
195,82,정상체중
188,82,정상체중
135,47,비만
198,53,저체중
138,52,비만
171,77,비만
145,76,비만
158,48,정상체중
150,77,비만
161,68,비만
164,65,정상체중
131,70,비만
166,38,저체중
193,74,정상체중
177,47,저체중
124,58,비만
200,87,정상체중
139,54,비만
178,45,저체중
169,62,정상체중
130,67,비만
189,69,정상체중
146,53,정상체중
193,45,저체중
174,45,저체중
142,83,비만
160,67,비만
199,51,저체중
182,90,비만
133,87,비만
172,44,저체중
174,80,비만
156,71,비만
197,61,저체중
153,59,비만
126,85,비만
129,80,비만
190,61,저체중
142,64,비만
166,37,저체중
129,40,정상체중
160,52,정상체중
171,67,정상체중
135,43,정상체중
139,67,비만
184,45,저체중
151,80,비만
127,82,비만
187,71,정상체중
189,85,정상체중
173,67,정상체중
139,68,비만
150,56,정상체중
170,65,정상체중
147,44,정상체중
140,86,비만
193,44,저체중
155,83,비만
159,71,비만
152,74,비만
166,71,비만
146,66,비만
146,48,정상체중
129,37,정상체중
173,73,정상체중
186,39,저체중
167,61,정상체중
125,43,비만
174,40,저체중
187,54,저체중
174,76,비만
125,72,비만
174,40,저체중
192,66,저체중
162,84,비만
125,42,비만
171,66,정상체중
122,77,비만
140,44,정상체중
187,80,정상체중
139,39,정상체중
166,57,정상체중
160,77,비만
134,65,비만
180,56,저체중
170,86,비만
182,39,저체중
134,36,정상체중
142,43,정상체중
162,48,저체중
196,40,저체중
171,65,정상체중
173,56,정상체중
131,66,비만
169,56,정상체중
120,86,비만
127,37,정상체중
169,54,정상체중
196,45,저체중
147,58,비만
186,57,저체중
153,50,정상체중
178,68,정상체중
171,63,정상체중
137,38,정상체중
185,71,정상체중
127,54,비만
173,75,비만
148,45,정상체중
162,71,비만
148,62,비만
120,58,비만
125,50,비만
199,50,저체중
185,65,정상체중
120,86,비만
166,67,정상체중
175,39,저체중
161,60,정상체중
143,55,비만
188,51,저체중
192,90,정상체중
170,78,비만
131,77,비만
155,46,정상체중
153,39,저체중
150,36,저체중
163,75,비만
191,73,정상체중
184,36,저체중
188,37,저체중
123,84,비만
200,36,저체중
159,48,정상체중
192,46,저체중
132,42,정상체중
169,70,정상체중
174,71,정상체중
161,52,정상체중
143,62,비만
185,74,정상체중
198,41,저체중
184,77,정상체중
159,52,정상체중
125,35,정상체중
159,76,비만
179,51,저체중
147,48,정상체중
181,69,정상체중
198,76,정상체중
175,79,비만
166,63,정상체중
132,83,비만
144,67,비만
163,42,저체중
160,63,정상체중
199,59,저체중
185,62,저체중
120,88,비만
121,84,비만
149,83,비만
182,79,정상체중
198,89,정상체중
123,49,비만
189,51,저체중
186,87,비만
159,82,비만
143,74,비만
146,69,비만
174,44,저체중
159,67,비만
147,81,비만
181,51,저체중
134,76,비만
162,67,비만
181,74,정상체중
175,76,정상체중
168,56,정상체중
169,54,정상체중
167,76,비만
179,38,저체중
192,54,저체중
184,72,정상체중
142,47,정상체중
171,61,정상체중
190,64,저체중
147,59,비만
133,76,비만
136,52,비만
149,61,비만
161,46,저체중
189,53,저체중
152,49,정상체중
189,66,저체중
137,52,비만
170,78,비만
172,48,저체중
192,42,저체중
198,75,정상체중
178,87,비만
137,64,비만
130,53,비만
163,61,정상체중
194,75,정상체중
180,62,정상체중
197,64,저체중
146,52,정상체중
143,64,비만
158,68,비만
179,56,저체중
122,72,비만
138,45,정상체중
142,78,비만
177,65,정상체중
189,77,정상체중
122,55,비만
184,53,저체중
181,45,저체중
190,69,정상체중
157,69,비만
151,83,비만
157,82,비만
190,42,저체중
127,69,비만
138,71,비만
184,70,정상체중
157,51,정상체중
193,71,정상체중
126,79,비만
184,58,저체중
170,72,정상체중
195,36,저체중
136,90,비만
130,64,비만
198,44,저체중
166,70,비만
166,46,저체중
193,54,저체중
177,71,정상체중
120,64,비만
153,35,저체중
144,46,정상체중
183,49,저체중
129,63,비만
160,73,비만
186,37,저체중
155,53,정상체중
129,53,비만
175,71,정상체중
174,37,저체중
188,39,저체중
139,50,비만
167,39,저체중
129,47,비만
167,77,비만
132,71,비만
145,80,비만
183,42,저체중
125,51,비만
122,44,비만
138,41,정상체중
121,43,비만
161,70,비만
157,84,비만
148,87,비만
154,38,저체중
168,62,정상체중
136,45,정상체중
122,84,비만
168,70,정상체중
185,48,저체중
170,59,정상체중
152,52,정상체중
124,40,비만
187,75,정상체중
173,35,저체중
159,60,정상체중
151,83,비만
200,62,저체중
177,79,비만
157,38,저체중
199,43,저체중
185,74,정상체중
180,43,저체중
169,67,정상체중
197,70,저체중
157,86,비만
186,90,비만
179,76,정상체중
148,50,정상체중
194,89,정상체중
149,73,비만
144,52,비만
155,70,비만
162,75,비만
173,48,저체중
150,72,비만
157,75,비만
135,35,정상체중
165,84,비만
155,37,저체중
151,86,비만
179,61,정상체중
165,68,정상체중
143,38,정상체중
167,73,비만
157,41,저체중
200,54,저체중
129,67,비만
167,35,저체중
124,84,비만
124,44,비만
181,69,정상체중
144,71,비만
166,78,비만
129,41,정상체중
139,66,비만
138,61,비만
180,51,저체중
135,79,비만
136,90,비만
136,90,비만
129,38,정상체중
151,71,비만
135,41,정상체중
136,58,비만
148,44,정상체중
143,65,비만
123,67,비만
143,57,비만
141,52,비만
153,60,비만
191,76,정상체중
121,41,비만
193,80,정상체중
182,84,비만
173,39,저체중
135,89,비만
148,41,정상체중
167,90,비만
150,85,비만
194,90,정상체중
196,44,저체중
198,77,정상체중
194,89,정상체중
149,37,저체중
126,46,비만
199,85,정상체중
185,87,비만
190,70,정상체중
192,58,저체중
122,84,비만
149,45,정상체중
188,60,저체중
145,88,비만
152,83,비만
170,52,저체중
173,35,저체중
157,58,정상체중
189,75,정상체중
174,47,저체중
167,71,비만
132,47,비만
178,48,저체중
198,35,저체중
122,65,비만
198,53,저체중
138,39,정상체중
179,35,저체중
120,55,비만
173,90,비만
148,66,비만
122,76,비만
138,82,비만
150,48,정상체중
166,60,정상체중
167,55,정상체중
152,47,정상체중
147,36,저체중
183,63,정상체중
159,65,비만
154,82,비만
185,38,저체중
179,75,정상체중
154,82,비만
120,90,비만
149,90,비만
127,67,비만
175,66,정상체중
184,76,정상체중
143,41,정상체중
179,53,저체중
144,75,비만
140,77,비만
175,36,저체중
144,61,비만
150,74,비만
178,43,저체중
167,70,비만
121,76,비만
187,64,저체중
167,62,정상체중
157,67,비만
134,74,비만
154,63,비만
167,70,비만
196,38,저체중
184,75,정상체중
158,70,비만
188,47,저체중
149,35,저체중
160,59,정상체중
190,41,저체중
167,62,정상체중
182,57,저체중
165,41,저체중
146,76,비만
156,69,비만
129,45,비만
135,40,정상체중
180,35,저체중
140,72,비만
154,41,저체중
135,38,정상체중
125,81,비만
140,59,비만
166,46,저체중
196,63,저체중
150,66,비만
161,84,비만
193,66,저체중
192,66,저체중
170,43,저체중
194,89,정상체중
169,82,비만
180,76,정상체중
137,71,비만
130,75,비만
162,50,정상체중
193,52,저체중
154,65,비만
137,85,비만
147,63,비만
130,57,비만
172,67,정상체중
144,50,정상체중
189,56,저체중
177,57,저체중
182,71,정상체중
142,63,비만
148,41,정상체중
134,59,비만
154,74,비만
179,64,정상체중
153,59,비만
126,80,비만
164,73,비만
188,54,저체중
163,37,저체중
138,61,비만
162,67,비만
150,49,정상체중
188,41,저체중
143,81,비만
144,77,비만
133,85,비만
145,59,비만
193,36,저체중
186,57,저체중
170,59,정상체중
155,86,비만
146,54,비만
187,73,정상체중
134,83,비만
178,80,비만
153,82,비만
156,46,정상체중
162,75,비만
123,86,비만
139,70,비만
150,69,비만
185,79,정상체중
175,58,정상체중
188,79,정상체중
152,76,비만
159,44,저체중
134,61,비만
126,69,비만
120,78,비만
143,54,비만
139,61,비만
152,64,비만
159,81,비만
197,45,저체중
127,52,비만
140,88,비만
134,78,비만
149,46,정상체중
124,83,비만
134,71,비만
190,36,저체중
138,73,비만
148,85,비만
182,56,저체중
150,35,저체중
137,56,비만
177,35,저체중
148,45,정상체중
168,37,저체중
138,78,비만
179,71,정상체중
158,76,비만
200,82,정상체중
125,38,정상체중
133,71,비만
196,69,저체중
183,59,저체중
166,49,저체중
154,85,비만
128,66,비만
180,74,정상체중
160,83,비만
156,40,저체중
193,73,정상체중
194,38,저체중
166,37,저체중
122,69,비만
157,89,비만
127,52,비만
166,49,저체중
197,49,저체중
148,59,비만
164,60,정상체중
168,39,저체중
165,68,정상체중
177,88,비만
129,36,정상체중
155,43,저체중
178,81,비만
128,53,비만
147,71,비만
124,49,비만
122,51,비만
157,41,저체중
157,52,정상체중
170,56,정상체중
166,50,저체중
176,53,저체중
183,35,저체중
178,44,저체중
164,43,저체중
134,74,비만
155,60,정상체중
167,74,비만
154,79,비만
174,77,비만
141,76,비만
148,77,비만
150,78,비만
174,58,정상체중
189,72,정상체중
137,87,비만
191,44,저체중
135,42,정상체중
128,49,비만
172,52,저체중
199,86,정상체중
125,69,비만
137,79,비만
188,55,저체중
160,35,저체중
151,74,비만
162,38,저체중
144,69,비만
179,84,비만
194,58,저체중
156,68,비만
198,70,저체중
169,59,정상체중
167,37,저체중
128,84,비만
129,54,비만
179,78,정상체중
179,79,정상체중
164,53,정상체중
147,57,비만
122,57,비만
196,57,저체중
139,56,비만
197,53,저체중
132,35,정상체중
197,86,정상체중
170,76,비만
158,47,정상체중
127,51,비만
153,73,비만
152,52,정상체중
172,87,비만
121,79,비만
154,66,비만
135,81,비만
193,58,저체중
135,47,비만
191,38,저체중
197,54,저체중
182,72,정상체중
151,41,저체중
193,83,정상체중
153,68,비만
194,73,정상체중
190,48,저체중
181,47,저체중
193,83,정상체중
186,61,저체중
129,58,비만
149,84,비만
187,87,정상체중
147,75,비만
169,73,비만
192,35,저체중
150,71,비만
123,78,비만
159,66,비만
170,57,정상체중
163,64,정상체중
153,72,비만
184,77,정상체중
164,45,저체중
189,60,저체중
196,45,저체중
121,45,비만
124,85,비만
140,83,비만
171,46,저체중
164,69,비만
123,60,비만
176,79,비만
193,37,저체중
175,47,저체중
159,62,정상체중
162,63,정상체중
126,54,비만
145,71,비만
127,88,비만
128,52,비만
120,75,비만
166,50,저체중
156,46,정상체중
123,79,비만
156,87,비만
182,68,정상체중
134,73,비만
162,57,정상체중
152,43,정상체중
182,48,저체중
143,74,비만
152,60,비만
165,86,비만
169,82,비만
155,84,비만
190,42,저체중
123,55,비만
182,85,비만
173,66,정상체중
197,77,정상체중
195,63,저체중
174,64,정상체중
186,84,정상체중
192,71,정상체중
156,81,비만
175,60,정상체중
131,66,비만
126,80,비만
120,41,비만
188,49,저체중
175,70,정상체중
120,68,비만
124,62,비만
163,59,정상체중
131,35,정상체중
133,59,비만
190,54,저체중
144,61,비만
128,58,비만
125,58,비만
151,44,정상체중
166,59,정상체중
173,40,저체중
158,69,비만
124,50,비만
141,69,비만
139,62,비만
123,68,비만
139,85,비만
134,44,정상체중
167,52,정상체중
125,71,비만
164,49,저체중
132,54,비만
187,75,정상체중
196,40,저체중
188,52,저체중
159,84,비만
120,81,비만
183,41,저체중
180,72,정상체중
149,38,저체중
147,83,비만
162,50,정상체중
166,88,비만
138,50,비만
180,72,정상체중
124,46,비만
139,89,비만
125,70,비만
129,61,비만
179,58,저체중
162,62,정상체중
196,59,저체중
161,84,비만
130,53,비만
155,63,비만
180,56,저체중
172,60,정상체중
168,71,비만
184,56,저체중
169,76,비만
193,51,저체중
124,35,정상체중
128,84,비만
183,41,저체중
168,55,정상체중
128,76,비만
133,75,비만
163,45,저체중
182,44,저체중
154,63,비만
155,71,비만
194,87,정상체중
161,77,비만
132,48,비만
150,53,정상체중
188,62,저체중
142,71,비만
138,74,비만
135,50,비만
176,76,정상체중
140,48,정상체중
159,53,정상체중
137,77,비만
175,59,정상체중
135,36,정상체중
136,54,비만
165,43,저체중
167,68,정상체중
126,36,정상체중
168,44,저체중
154,49,정상체중
154,53,정상체중
139,35,저체중
151,75,비만
190,43,저체중
159,37,저체중
145,46,정상체중
147,40,정상체중
189,44,저체중
168,63,정상체중
170,36,저체중
154,40,저체중
144,63,비만
125,63,비만
155,63,비만
199,79,정상체중
147,76,비만
146,90,비만
148,78,비만
177,70,정상체중
121,56,비만
158,79,비만
157,39,저체중
165,51,정상체중
180,38,저체중
196,68,저체중
